CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
559727151,2/2/2020,12:30:00,,,43,2/6/2020,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,"1,020,316","239,179",UNKNOWN,WHITE HISPANIC,M,,40.8231013,-73.86969046,"(40.82310129900002, -73.86969046099993)",PATROL BORO BRONX,,<18,WHITE HISPANIC,F
715980424,2/2/2020,22:30:00,2/3/2020,7:45:00,73,2/3/2020,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,,,"1,011,000","182,708",,,,,40.66813579,-73.9035749,"(40.66813579100005, -73.90357490199995)",PATROL BORO BKLYN NORTH,,45-64,BLACK,M
365309017,2/2/2020,9:00:00,2/2/2020,23:00:00,70,12/22/2020,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,"992,597","168,344",UNKNOWN,UNKNOWN,U,,40.62874619,-73.96993052,"(40.628746192000044, -73.96993051899994)",PATROL BORO BKLYN SOUTH,,25-44,ASIAN / PACIFIC ISLANDER,F
976740059,2/2/2020,9:00:00,,,42,11/25/2020,233,SEX CRIMES,681,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,"1,008,798","238,971",25-44,WHITE HISPANIC,F,,40.82256992,-73.91130717,"(40.82256991600008, -73.91130716899994)",PATROL BORO BRONX,,<18,BLACK,M
692325417,2/2/2020,9:00:00,2/17/2020,9:00:00,18,11/30/2020,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,MANHATTAN,INSIDE,RESTAURANT/DINER,N.Y. POLICE DEPT,0,,,,"988,626","217,304",25-44,WHITE,M,,40.76313287,-73.98420465,"(40.76313286700002, -73.98420465299995)",PATROL BORO MAN SOUTH,,UNKNOWN,UNKNOWN,D
326962236,2/2/2020,7:00:00,9/20/2020,7:00:00,106,10/15/2020,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,,"1,030,725","188,147",,,,,40.68298303,-73.83243422,"(40.68298302800008, -73.83243422399994)",PATROL BORO QUEENS SOUTH,,45-64,ASIAN / PACIFIC ISLANDER,F
547420808,2/2/2020,12:00:00,2/2/2020,12:15:00,83,10/5/2020,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,"1,010,367","191,737",UNKNOWN,WHITE HISPANIC,M,,40.69292023,-73.9058217,"(40.69292022700006, -73.90582170299997)",PATROL BORO BKLYN NORTH,,25-44,WHITE HISPANIC,F
254502188,2/2/2020,10:00:00,3/21/2020,10:00:00,19,9/1/2020,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,MANHATTAN,INSIDE,SHOE,N.Y. POLICE DEPT,0,,,,"995,620","220,545",45-64,BLACK,M,,40.77202234,-73.95895173,"(40.77202234400005, -73.95895173499997)",PATROL BORO MAN NORTH,,UNKNOWN,UNKNOWN,D
160675922,2/2/2020,11:55:00,,,69,8/11/2020,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,"1,006,895","170,836",25-44,BLACK,M,,40.63556119,-73.91841217,"(40.63556119400005, -73.91841216899996)",PATROL BORO BKLYN SOUTH,,45-64,BLACK,F
819327034,2/2/2020,0:01:00,7/1/2020,0:01:00,67,7/20/2020,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,BROOKLYN,OPPOSITE OF,OTHER,N.Y. POLICE DEPT,0,,,,"1,000,919","176,238",,,,,40.65040178,-73.93993017,"(40.65040178300006, -73.939930168)",PATROL BORO BKLYN SOUTH,,UNKNOWN,UNKNOWN,E
324149200,2/2/2020,14:00:00,,,90,7/15/2020,109,GRAND LARCENY,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,"998,534","197,465",,,,,40.70866926,-73.94848017,"(40.708669255000075, -73.94848017299995)",PATROL BORO BKLYN NORTH,,25-44,WHITE HISPANIC,M
