county,use_date,total_cases,deaths
Appling,2020-09-01,7,0
Appling,2020-09-02,7,0
Appling,2020-09-03,8,0
Appling,2020-09-04,16,0
Appling,2020-09-05,8,0
Appling,2020-09-06,4,1
Appling,2020-09-07,1,0
Appling,2020-09-08,6,1
Appling,2020-09-09,5,0
Appling,2020-09-10,9,0
Appling,2020-09-11,5,0
Appling,2020-09-12,3,1
Appling,2020-09-13,3,0
Appling,2020-09-14,1,0
Appling,2020-09-15,5,0
Appling,2020-09-16,1,0
Appling,2020-09-17,8,0
Appling,2020-09-18,21,0
Appling,2020-09-19,9,0
Appling,2020-09-20,5,0
Appling,2020-09-21,2,0
Appling,2020-09-22,0,0
Appling,2020-09-23,2,0
Appling,2020-09-24,4,0
Appling,2020-09-25,6,0
Appling,2020-09-26,6,2
Appling,2020-09-27,5,0
Appling,2020-09-28,2,0
Appling,2020-09-29,5,1
Appling,2020-09-30,3,0
Appling,2020-10-01,5,0
Appling,2020-10-02,11,0
Appling,2020-10-03,9,1
Appling,2020-10-04,4,0
Appling,2020-10-05,6,0
Appling,2020-10-06,3,2
Appling,2020-10-07,5,0
Appling,2020-10-08,3,0
Appling,2020-10-09,9,0
Appling,2020-10-10,6,0
Appling,2020-10-11,3,0
Appling,2020-10-12,1,0
Appling,2020-10-13,4,0
Appling,2020-10-14,8,0
Appling,2020-10-15,4,0
Appling,2020-10-16,2,0
Appling,2020-10-17,5,0
Appling,2020-10-18,0,1
Appling,2020-10-19,6,0
Appling,2020-10-20,4,0
Appling,2020-10-21,7,0
Appling,2020-10-22,9,1
Appling,2020-10-23,5,0
Appling,2020-10-24,2,0
Appling,2020-10-25,0,0
Appling,2020-10-26,0,0
Appling,2020-10-27,2,1
Appling,2020-10-28,2,0
Appling,2020-10-29,7,0
Appling,2020-10-30,5,1
Appling,2020-10-31,3,0
Appling,2020-11-01,0,0
Appling,2020-11-02,0,0
Appling,2020-11-03,4,0
Appling,2020-11-04,7,0
Appling,2020-11-05,5,0
Appling,2020-11-06,6,0
Appling,2020-11-07,0,0
Appling,2020-11-08,3,0
Appling,2020-11-09,1,0
Appling,2020-11-10,1,0
Appling,2020-11-11,1,0
Appling,2020-11-12,3,0
Appling,2020-11-13,2,0
Appling,2020-11-14,4,1
Appling,2020-11-15,4,0
Appling,2020-11-16,0,0
Appling,2020-11-17,4,0
Appling,2020-11-18,1,0
Appling,2020-11-19,3,0
Appling,2020-11-20,5,0
Appling,2020-11-21,1,0
Appling,2020-11-22,2,0
Appling,2020-11-23,2,0
Appling,2020-11-24,1,0
Appling,2020-11-25,0,0
Appling,2020-11-26,2,0
Appling,2020-11-27,4,0
Appling,2020-11-28,2,0
Appling,2020-11-29,1,0
Appling,2020-11-30,0,0
Appling,2020-12-01,3,0
Appling,2020-12-02,6,1
Appling,2020-12-03,2,1
Appling,2020-12-04,9,0
Appling,2020-12-05,6,0
Appling,2020-12-06,1,0
Appling,2020-12-07,10,1
Appling,2020-12-08,7,0
Appling,2020-12-09,2,0
Appling,2020-12-10,5,0
Appling,2020-12-11,6,0
Appling,2020-12-12,12,0
Appling,2020-12-13,5,0
Appling,2020-12-14,3,0
Appling,2020-12-15,16,0
Appling,2020-12-16,22,0
Appling,2020-12-17,11,0
Appling,2020-12-18,19,0
Appling,2020-12-19,13,0
Appling,2020-12-20,5,0
Appling,2020-12-21,9,0
Appling,2020-12-22,8,1
Appling,2020-12-23,12,0
Appling,2020-12-24,31,0
Appling,2020-12-25,7,0
Appling,2020-12-26,8,0
Appling,2020-12-27,6,0
Appling,2020-12-28,7,0
Appling,2020-12-29,25,0
Appling,2020-12-30,21,1
Appling,2020-12-31,18,0
Appling,2021-01-01,16,0
Appling,2021-01-02,16,0
Appling,2021-01-03,11,0
Appling,2021-01-04,5,0
Appling,2021-01-05,12,0
Appling,2021-01-06,22,0
Appling,2021-01-07,5,0
Appling,2021-01-08,24,0
Appling,2021-01-09,11,0
Appling,2021-01-10,11,0
Appling,2021-01-11,8,0
Appling,2021-01-12,3,0
Appling,2021-01-13,11,0
Appling,2021-01-14,18,0
Appling,2021-01-15,20,1
Appling,2021-01-16,11,0
Appling,2021-01-17,9,0
Appling,2021-01-18,4,0
Appling,2021-01-19,7,0
Appling,2021-01-20,9,0
Appling,2021-01-21,10,1
Appling,2021-01-22,21,1
Appling,2021-01-23,7,1
Appling,2021-01-24,7,0
Appling,2021-01-25,1,1
Appling,2021-01-26,8,0
Appling,2021-01-27,6,1
Appling,2021-01-28,8,0
