offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,dispo_code,Shift,loc_type,UC2_Literal,ibr_code,neighborhood,npu,long,lat
203341346,12/31/2020,11/29/2020,19:21,11/29/2020,23:50,405,NULL,NULL,3050 M.L.K. JR DR SW,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,Harland Terrace,I,-84.486163,33.75106
203631200,12/31/2020,12/28/2020,17:21,12/28/2020,17:45,302,NULL,NULL,1186 IRA ST SW,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23H,Pittsburgh,V,-84.399763,33.722696
203631285,12/31/2020,12/24/2020,14:00,12/24/2020,18:26,603,NULL,NULL,501 BOULEVARD PL NE,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23H,Old Fourth Ward,M,-84.370736,33.76968
203651634,12/31/2020,12/30/2020,20:15,12/30/2020,22:25,211,NULL,NULL,3101 PIEDMONT RD NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Peachtree Park,B,-84.369361,33.840653
203660108,12/31/2020,12/31/2020,1:15,12/31/2020,1:15,306,NULL,NULL,1974 SYLVAN RD SW,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,Sylvan Hills,X,-84.418128,33.700432
203660240,12/31/2020,12/31/2020,0:00,12/31/2020,5:43,506,NULL,NULL,361 OLIVER ST NW,NULL,NULL,NULL,NULL,AUTO THEFT,240,English Avenue,L,-84.415338,33.764633
203660279,12/31/2020,12/31/2020,3:50,12/31/2020,4:09,506,NULL,NULL,800 WEST MARIETTA ST NW,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23B,English Avenue,L,-84.412613,33.778925
203660299,12/31/2020,12/31/2020,4:15,12/31/2020,5:52,304,NULL,NULL,1054 RIDGE AVE SW,NULL,NULL,NULL,NULL,ROBBERY,120,Peoplestown,V,-84.391717,33.726336
203660335,12/31/2020,12/31/2020,3:00,12/31/2020,7:22,212,NULL,NULL,2284 CHESHIRE BRIDGE RD NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Lindridge/Martin Manor,F,-84.352555,33.817488
203660398,12/31/2020,12/31/2020,7:50,12/31/2020,7:50,301,NULL,NULL,1374 MURPHY AVE SW,NULL,NULL,NULL,NULL,AUTO THEFT,240,Capitol View,X,-84.423912,33.717598
203660430,12/31/2020,12/30/2020,22:08,12/31/2020,8:00,208,NULL,NULL,3340 PEACHTREE RD,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,North Buckhead,B,-84.370956,33.847445
203660454,12/31/2020,12/31/2020,6:20,12/31/2020,8:06,107,NULL,NULL,1990 DONALD LEE HOLLOWELL PKWY NW,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23H,Grove Park,J,-84.449777,33.7763
203660455,12/31/2020,12/31/2020,8:10,12/31/2020,9:00,602,NULL,NULL,1001 PONCE DE LEON AVE NE,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23C,Poncey-Highland,N,-84.354575,33.772962
203660459,12/31/2020,12/31/2020,4:00,12/31/2020,4:30,407,NULL,NULL,3500 M.L.K. JR DR SW,NULL,NULL,NULL,NULL,BURGLARY,220,Adamsville,H,-84.502923,33.757333
203660545,12/31/2020,12/23/2020,20:00,12/26/2020,6:38,104,NULL,NULL,385 LEGACY DR SW,NULL,NULL,NULL,NULL,AUTO THEFT,240,Harris Chiles,T,-84.419523,33.745068
203660697,12/31/2020,12/30/2020,14:00,12/31/2020,17:42,414,NULL,NULL,3770 PRINCETON LAKES PKWY,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23D,Princeton Lakes,P,-84.511302,33.657543
203660715,12/31/2020,12/31/2020,11:50,12/31/2020,11:54,302,NULL,NULL,UNIVERSITY AVE SW,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,Pittsburgh,V,-84.40006,33.722121
203660837,12/31/2020,12/30/2020,19:00,12/31/2020,13:09,206,NULL,NULL,65 IRBY AVE NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,South Tuxedo Park,B,-84.380998,33.841524
203660863,12/31/2020,12/30/2020,22:05,12/30/2020,22:10,206,NULL,NULL,48 PEACHTREE AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Garden Hills,B,-84.378055,33.835136
203660911,12/31/2020,12/27/2020,11:00,12/31/2020,13:56,111,NULL,NULL,I-285,NULL,NULL,NULL,NULL,AUTO THEFT,240,NULL,I,-84.492727,33.763692
203660933,12/31/2020,12/31/2020,14:12,12/31/2020,16:30,304,NULL,NULL,521 HANK AARON DR SW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Summerhill,V,-84.389964,33.737783
203661009,12/31/2020,12/31/2020,15:10,12/31/2020,15:10,607,NULL,NULL,1093 EDIE AVE SE,NULL,NULL,NULL,NULL,AUTO THEFT,240,Boulevard Heights,W,-84.363878,33.724766
203661015,12/31/2020,12/31/2020,9:09,12/31/2020,15:21,208,NULL,NULL,3500 PEACHTREE RD NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,North Buckhead,B,-84.362043,33.852786
203661018,12/31/2020,12/31/2020,14:00,12/31/2020,15:11,205,NULL,NULL,2275 HAVENRIDGE DR NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Peachtree Battle Alliance,C,-84.39948,33.817327
203661029,12/31/2020,12/31/2020,16:00,12/31/2020,17:58,410,NULL,NULL,2020 CAMPBELLTON RD SW,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23H,Campbellton Road,R,-84.455498,33.705987
203661050,12/31/2020,12/31/2020,14:00,12/31/2020,15:20,402,NULL,NULL,590 CASCADE AVE SW,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23H,West End,T,-84.433587,33.737455
203661112,12/31/2020,12/31/2020,15:00,12/31/2020,16:30,202,NULL,NULL,135 CHASTAIN PARK AVE NW,NULL,NULL,NULL,NULL,AUTO THEFT,240,Chastain Park,A,-84.391369,33.876772
203661215,12/31/2020,12/31/2020,15:00,12/31/2020,16:30,202,NULL,NULL,135 CHASTAIN PARK AVE NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Chastain Park,A,-84.391369,33.876772
203661269,12/31/2020,12/30/2020,20:00,12/31/2020,15:00,613,NULL,NULL,1006 AMSTERDAM AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Morningside/Lenox Park,F,-84.354164,33.787867
203661321,12/31/2020,12/31/2020,17:30,12/31/2020,17:35,211,NULL,NULL,2277 PEACHTREE RD,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,NULL,E,-84.390599,33.815334
203661398,12/31/2020,12/31/2020,18:00,12/31/2020,18:30,204,NULL,NULL,1801 HOWELL MILL RD NW,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23C,Berkeley Park,D,-84.412846,33.80423
203661474,12/31/2020,12/31/2020,16:00,12/31/2020,18:00,606,NULL,NULL,975 MEMORIAL DR SE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Reynoldstown,N,-84.356418,33.74593
203661500,12/31/2020,12/31/2020,18:30,12/31/2020,18:48,508,NULL,NULL,17 BAKER ST NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Downtown,M,-84.38829,33.76293
203661504,12/31/2020,12/31/2020,18:49,12/31/2020,18:49,307,NULL,NULL,1732 PRYOR RD SW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Betmar LaVilla,Y,-84.39535,33.707324
