offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apartment_office_prefix,apartment_number,location,watch,location_type,UC2_Literal,UCR_Number,neighborhood,npu,lat,long
200021209,1/2/2020,1/2/2020,15:21,1/2/2020,15:35,511,NA,NA,12 BROAD ST SW,Evening Watch,21,HOMICIDE,110,Downtown,M,33.75352,-84.39189
200061707,1/6/2020,1/6/2020,0:00,1/6/2020,18:25,109,NA,NA,785 PEYTON AVE NW,Evening Watch,NA,HOMICIDE,110,Center Hill,J,33.77655,-84.4677
200100013,1/10/2020,1/9/2020,23:45,1/10/2020,0:00,110,NA,NA,1977 JONES AVE NW,Morning Watch,20,HOMICIDE,110,West Highlands,G,33.78738,-84.45208
200151818,1/16/2020,1/15/2020,17:15,1/15/2020,17:40,401,NA,NA,549 JOSEPH LOWERY BLVD,Evening Watch,99,HOMICIDE,110,West End,T,33.74001,-84.41782
200180440,1/18/2020,1/18/2020,3:31,1/18/2020,3:31,206,NA,NA,28 IRBY AVE NW,Morning Watch,13,HOMICIDE,110,South Tuxedo Park,B,33.84102,-84.38018
200331738,2/3/2020,2/2/2020,19:25,2/3/2020,3:34,407,APT,1103,751 FAIRBURN RD SW,NA,NA,HOMICIDE,110,Fairburn Mays,H,33.73454,-84.51059
200340072,2/3/2020,2/3/2020,0:15,2/3/2020,0:45,112,NA,NA,3196 DONALD LEE HOLLOWELL PKWY NW,Morning Watch,10,HOMICIDE,110,Collier Heights,I,33.78575,-84.49181
200350345,2/4/2020,2/4/2020,2:00,2/4/2020,6:00,408,NA,NA,1700 STANTON RD SW,Morning Watch,NA,HOMICIDE,110,NA,R,33.70907,-84.44364
200461126,2/15/2020,2/15/2020,13:00,2/15/2020,13:05,207,APT,2104,1000 PEACHTREE PARK DR NE,Evening Watch,26,HOMICIDE,110,NA,E,33.81353,-84.38943
200491623,2/18/2020,2/18/2020,16:15,2/18/2020,16:24,105,NA,NA,1156 JOSEPH E BOONE BLVD NW,Evening Watch,13,HOMICIDE,110,Hunter Hills,K,33.76322,-84.4253
200571409,2/26/2020,2/22/2020,22:00,2/26/2020,15:00,308,NA,NA,2520 JONESBORO RD SE,Evening Watch,NA,HOMICIDE,110,Leila Valley,Z,33.6849,-84.36412
200582180,2/27/2020,2/27/2020,20:20,2/27/2020,20:22,308,NA,NA,1047 REDFORD DR SE,Evening Watch,NA,HOMICIDE,110,Rebel Valley Forest,Z,33.68746,-84.3566
200610909,3/1/2020,3/1/2020,11:49,3/1/2020,11:49,303,NA,NA,725 GARIBALDI ST SW,NA,NA,HOMICIDE,110,Mechanicsville,V,33.73521,-84.3994
200681491,3/8/2020,3/8/2020,18:39,3/8/2020,18:39,210,NA,NA,3393 PEACHTREE RD NE @LENOX SQUARE,Evening Watch,NA,HOMICIDE,110,Lenox,B,33.84676,-84.36212
200731916,3/13/2020,3/13/2020,18:51,3/13/2020,18:52,614,NA,NA,836 GLENDALE TER NE,Evening Watch,NA,HOMICIDE,110,Midtown,E,33.77741,-84.37671
200741761,3/14/2020,3/14/2020,19:00,3/14/2020,19:15,302,NA,NA,273 FLETCHER ST SW,Evening Watch,18,HOMICIDE,110,Pittsburgh,V,33.72585,-84.39695
200761557,3/17/2020,3/16/2020,19:00,3/16/2020,21:00,307,NA,NA,211 THORNTON ST SW,Day Watch,NA,HOMICIDE,110,Joyland,Y,33.71239,-84.39527
200771204,3/17/2020,3/17/2020,15:30,3/17/2020,16:00,503,NA,NA,1010 W. PEACHTREE ST,Evening Watch,26,HOMICIDE,110,Midtown,E,33.78228,-84.38822
200801123,4/12/2020,3/20/2020,13:30,3/20/2020,13:50,209,NA,NA,3669 POWERS FERRY RD,Day Watch,7,HOMICIDE,110,East Chastain Park,B,33.85641,-84.38288
200891541,3/29/2020,3/29/2020,12:45,3/29/2020,22:08,413,NA,NA,2345 BUTNER RD SW,Evening Watch,20,HOMICIDE,110,Fairburn,P,33.69066,-84.52427
200901380,3/30/2020,3/30/2020,18:10,3/30/2020,18:12,409,APT,13H,2909 CAMPBELLTON RD SW,Evening Watch,26,HOMICIDE,110,Southwest,R,33.69869,-84.48265
200920965,4/1/2020,4/1/2020,13:00,4/1/2020,13:45,409,APT,26A,2909 CAMPBELLTON RD SW,Evening Watch,NA,HOMICIDE,110,Southwest,R,33.69869,-84.48265
201010013,4/10/2020,4/10/2020,0:01,4/10/2020,0:04,106,NA,NA,945 PROCTOR ST NW,Morning Watch,NA,HOMICIDE,110,Bankhead,K,33.76512,-84.41833
201081125,4/17/2020,4/17/2020,10:00,4/17/2020,14:00,301,APT,E,414 DECKNER AVE SW,Evening Watch,NA,HOMICIDE,110,Capitol View Manor,X,33.71463,-84.40167
201131892,4/22/2020,4/22/2020,22:28,4/22/2020,22:30,306,NA,NA,1723 LISBON DR SW,Evening Watch,NA,HOMICIDE,110,Sylvan Hills,X,33.70756,-84.41252
201160178,4/25/2020,4/25/2020,1:24,4/25/2020,2:00,607,NA,NA,904 TRESTLETREE CT SE,Morning Watch,18,HOMICIDE,110,Ormewood Park,W,33.72915,-84.36159
201170989,4/26/2020,4/26/2020,15:30,4/26/2020,15:35,308,NA,NA,350 THOMASVILLE BLVD SE,Evening Watch,26,HOMICIDE,110,Thomasville Heights,Z,33.70509,-84.35714
