county,use_date,total_cases,deaths
Clayton,2020-09-01,53,3
Clayton,2020-09-02,18,1
Clayton,2020-09-03,39,3
Clayton,2020-09-04,19,0
Clayton,2020-09-05,22,2
Clayton,2020-09-06,21,3
Clayton,2020-09-07,5,0
Clayton,2020-09-08,28,1
Clayton,2020-09-09,16,3
Clayton,2020-09-10,27,0
Clayton,2020-09-11,19,3
Clayton,2020-09-12,30,1
Clayton,2020-09-13,22,1
Clayton,2020-09-14,26,0
Clayton,2020-09-15,25,0
Clayton,2020-09-16,29,0
Clayton,2020-09-17,36,1
Clayton,2020-09-18,25,2
Clayton,2020-09-19,19,3
Clayton,2020-09-20,15,0
Clayton,2020-09-21,14,0
Clayton,2020-09-22,9,1
Clayton,2020-09-23,30,0
Clayton,2020-09-24,17,1
Clayton,2020-09-25,34,0
Clayton,2020-09-26,21,1
Clayton,2020-09-27,20,0
Clayton,2020-09-28,13,0
Clayton,2020-09-29,22,0
Clayton,2020-09-30,22,0
Clayton,2020-10-01,38,1
Clayton,2020-10-02,58,0
Clayton,2020-10-03,32,0
Clayton,2020-10-04,23,0
Clayton,2020-10-05,21,1
Clayton,2020-10-06,61,0
Clayton,2020-10-07,48,1
Clayton,2020-10-08,33,1
Clayton,2020-10-09,34,1
Clayton,2020-10-10,33,1
Clayton,2020-10-11,33,2
Clayton,2020-10-12,29,0
Clayton,2020-10-13,31,0
Clayton,2020-10-14,24,0
Clayton,2020-10-15,43,0
Clayton,2020-10-16,45,1
Clayton,2020-10-17,49,0
Clayton,2020-10-18,24,1
Clayton,2020-10-19,10,1
Clayton,2020-10-20,22,0
Clayton,2020-10-21,49,1
Clayton,2020-10-22,32,0
Clayton,2020-10-23,53,0
Clayton,2020-10-24,53,0
Clayton,2020-10-25,32,0
Clayton,2020-10-26,27,0
Clayton,2020-10-27,32,0
Clayton,2020-10-28,63,0
Clayton,2020-10-29,45,3
Clayton,2020-10-30,70,1
Clayton,2020-10-31,61,0
Clayton,2020-11-01,51,0
Clayton,2020-11-02,16,0
Clayton,2020-11-03,49,0
Clayton,2020-11-04,59,0
Clayton,2020-11-05,41,2
Clayton,2020-11-06,51,2
Clayton,2020-11-07,57,0
Clayton,2020-11-08,45,0
Clayton,2020-11-09,17,0
Clayton,2020-11-10,88,0
Clayton,2020-11-11,43,1
Clayton,2020-11-12,67,3
Clayton,2020-11-13,40,0
Clayton,2020-11-14,73,1
Clayton,2020-11-15,54,0
Clayton,2020-11-16,16,0
Clayton,2020-11-17,62,0
Clayton,2020-11-18,78,2
Clayton,2020-11-19,76,1
Clayton,2020-11-20,60,3
Clayton,2020-11-21,116,0
Clayton,2020-11-22,44,0
Clayton,2020-11-23,22,0
Clayton,2020-11-24,57,0
Clayton,2020-11-25,77,1
Clayton,2020-11-26,57,0
Clayton,2020-11-27,68,1
Clayton,2020-11-28,51,0
Clayton,2020-11-29,23,0
Clayton,2020-11-30,30,0
Clayton,2020-12-01,69,0
