offense_id,occur_date,UC2_Literal,neighborhood,npu,lat,long,use_date,zip,county,total_cases,deaths
21320347,1/31/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760759,-84.383773,2021-02-01,30303,Fulton,279.0,1.0
203661993,1/31/2020,LARCENY-FROM VEHICLE,Downtown,M,33.757453000000005,-84.392698,2021-01-01,30303,Fulton,981.0,0.0
203662299,12/31/2020,LARCENY-FROM VEHICLE,Downtown,M,33.750347,-84.38958000000001,2021-01-05,30303,Fulton,728.0,2.0
210010977,1/1/2021,AUTO THEFT,Downtown,M,33.757774,-84.394966,2021-01-25,30303,Fulton,460.0,5.0
210011211,1/1/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757774,-84.394966,2021-01-01,30303,Fulton,981.0,0.0
210011740,1/1/2021,LARCENY-NON VEHICLE,Downtown,M,33.757453000000005,-84.392698,2021-01-01,30303,Fulton,981.0,0.0
210012122,1/1/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760038,-84.385984,2021-01-02,30303,Fulton,730.0,0.0
210020236,1/2/2021,AGG ASSAULT,Downtown,M,33.756076,-84.382521,2021-01-02,30303,Fulton,730.0,0.0
210020289,1/2/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755725,-84.379326,2021-01-02,30303,Fulton,730.0,0.0
210021032,1/2/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760363,-84.389501,2021-01-02,30303,Fulton,730.0,0.0
210021859,1/3/2021,AGG ASSAULT,Downtown,M,33.759997,-84.39177600000001,2021-01-03,30303,Fulton,382.0,1.0
210022045,1/2/2021,ROBBERY,Castleberry Hill,M,33.744077000000004,-84.40385500000001,2021-01-03,30303,Fulton,382.0,1.0
210022066,1/2/2021,LARCENY-NON VEHICLE,Downtown,M,33.755713,-84.380415,2021-01-02,30303,Fulton,730.0,0.0
210030353,1/3/2021,LARCENY-FROM VEHICLE,Downtown,M,33.750513,-84.395861,2021-01-03,30303,Fulton,382.0,1.0
210030563,1/3/2021,LARCENY-FROM VEHICLE,Downtown,M,33.762064,-84.38662099999999,2021-01-03,30303,Fulton,382.0,1.0
210030576,1/2/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757774,-84.394966,2021-01-03,30303,Fulton,382.0,1.0
210030599,1/3/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755226,-84.381427,2021-01-03,30303,Fulton,382.0,1.0
210030826,1/2/2021,LARCENY-FROM VEHICLE,Downtown,M,33.7571,-84.382891,2021-01-03,30303,Fulton,382.0,1.0
210030980,1/2/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757453000000005,-84.392698,2021-01-03,30303,Fulton,382.0,1.0
210031496,1/3/2021,LARCENY-NON VEHICLE,Downtown,M,33.756842,-84.38519699999999,2021-01-03,30303,Fulton,382.0,1.0
210040825,1/2/2020,LARCENY-FROM VEHICLE,Downtown,M,33.760565,-84.384259,2021-01-04,30303,Fulton,393.0,2.0
210041087,12/17/2020,AUTO THEFT,Downtown,M,33.7466,-84.396539,2021-01-06,30303,Fulton,307.0,5.0
210041495,1/4/2021,AGG ASSAULT,Downtown,M,33.748740999999995,-84.394673,2021-01-04,30303,Fulton,393.0,2.0
210041682,1/4/2021,LARCENY-NON VEHICLE,Downtown,M,33.761565000000004,-84.385983,2021-01-05,30303,Fulton,728.0,2.0
210041702,1/4/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759932,-84.385797,2021-01-05,30303,Fulton,728.0,2.0
210041704,1/4/2021,LARCENY-NON VEHICLE,Downtown,M,33.761565000000004,-84.385983,2021-01-05,30303,Fulton,728.0,2.0
210050819,1/5/2021,LARCENY-FROM VEHICLE,Downtown,M,33.754028000000005,-84.38990799999999,2021-01-05,30303,Fulton,728.0,2.0
210051293,1/4/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759932,-84.385797,2021-01-05,30303,Fulton,728.0,2.0
210052054,1/4/2021,AGG ASSAULT,Downtown,M,33.755306,-84.389393,2021-01-06,30303,Fulton,307.0,5.0
210060226,1/6/2021,AGG ASSAULT,Pittsburgh,V,33.742773,-84.407627,2021-01-06,30303,Fulton,307.0,5.0
210061095,1/5/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759932,-84.385797,2021-01-06,30303,Fulton,307.0,5.0
210061274,1/6/2021,LARCENY-FROM VEHICLE,Downtown,M,33.758831,-84.391814,2021-01-06,30303,Fulton,307.0,5.0
210070273,1/7/2021,LARCENY-FROM VEHICLE,Downtown,M,33.75894,-84.389013,2021-01-07,30303,Fulton,1173.0,4.0
210070299,1/6/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755104,-84.38820799999999,2021-01-07,30303,Fulton,1173.0,4.0
210070967,1/7/2021,AGG ASSAULT,Downtown,M,33.758656,-84.38717,2021-01-07,30303,Fulton,1173.0,4.0
210071721,1/7/2021,AUTO THEFT,Downtown,M,33.757313,-84.389922,2021-01-07,30303,Fulton,1173.0,4.0
210080212,1/7/2021,AUTO THEFT,Downtown,M,33.752347,-84.39534300000001,2021-01-08,30303,Fulton,1150.0,5.0
210080266,1/7/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755226,-84.381427,2021-01-08,30303,Fulton,1150.0,5.0
210080495,1/8/2021,LARCENY-NON VEHICLE,Downtown,M,33.761507,-84.38668100000001,2021-01-08,30303,Fulton,1150.0,5.0
210080646,1/7/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755226,-84.381427,2021-01-08,30303,Fulton,1150.0,5.0
