zip,county
30076,Fulton
30078,Gwinnett
30079,Dekalb
30080,Cobb
30082,Cobb
30083,Dekalb
30084,Dekalb
30087,Dekalb
30088,Dekalb
30090,Cobb
30092,Gwinnett
30093,Gwinnett
30094,Rockdale
30096,Gwinnett
30097,Fulton
30101,Cobb
30102,Cherokee
30103,Bartow
30104,Polk
30105,Floyd
30106,Cobb
30107,Cherokee
30108,Carroll
30110,Haralson
30113,Haralson
30114,Cherokee
30115,Cherokee
30116,Carroll
30117,Carroll
30120,Bartow
30121,Bartow
30122,Douglas
30124,Floyd
30125,Polk
30126,Cobb
30127,Cobb
30132,Paulding
30134,Douglas
30135,Douglas
30137,Bartow
30143,Pickens
30144,Cobb
30139,Gordon
30141,Paulding
30145,Bartow
30147,Floyd
30148,Pickens
30152,Cobb
30153,Polk
30157,Paulding
30170,Carroll
30171,Bartow
30173,Floyd
30175,Pickens
30176,Haralson
30177,Pickens
30178,Bartow
30179,Carroll
30180,Carroll
30182,Haralson
30183,Cherokee
30184,Bartow
30185,Carroll
30187,Douglas
30188,Cherokee
30189,Cherokee
30204,Lamar
30205,Fayette
30206,Pike
30213,Fulton
30214,Fayette
30215,Fayette
30216,Butts
30217,Heard
30218,Meriwether
30220,Coweta
30222,Meriwether
30223,Spalding
30224,Spalding
30228,Henry
30233,Butts
30234,Butts
30236,Clayton
30240,Troup
30241,Troup
30248,Henry
30251,Meriwether
30252,Henry
30253,Henry
30256,Pike
30257,Lamar
30258,Pike
30259,Coweta
30260,Clayton
30263,Coweta
30268,Fulton
30269,Fayette
30273,Clayton
30274,Clayton
30276,Coweta
30277,Coweta
30281,Henry
30285,Upson
30286,Upson
30288,Clayton
30290,Fayette
30291,Fulton
30292,Pike
30293,Meriwether
30294,Dekalb
30295,Pike
30296,Clayton
30297,Clayton
30303,Fulton
30304,Fulton
30305,Fulton
30306,Fulton
30307,Fulton
30308,Fulton
30309,Fulton
30310,Fulton
30311,Fulton
30312,Fulton
30313,Fulton
30314,Fulton
30315,Fulton
30161,Floyd
30165,Floyd
30168,Cobb
30265,Coweta
30238,Clayton
30230,Troup
30316,Fulton
30317,Dekalb
30318,Fulton
30319,Dekalb
30324,Fulton
30326,Fulton
30327,Fulton
30328,Fulton
30329,Dekalb
30331,Fulton
30336,Fulton
30337,Fulton
30338,Dekalb
30339,Fulton
30340,Dekalb
30341,Dekalb
30342,Fulton
30344,Fulton
30345,Dekalb
30346,Dekalb
30349,Fulton
30350,Dekalb
30354,Fulton
30360,Dekalb
30361,Fulton
30363,Fulton
30410,Montgomery
30411,Wheeler
30413,Jefferson
